ID,feature,name,equation,source,product,original_resolution,final_resolution,temporal_resolution,units,aggregation,QA,normalization,nan_pct_all_pixels,leakage_risk,biswas_equivalent,status,feature_set,leakage_or_validity_issue
11.0,v2_rh_level,Relative humidity (derived) (climatological level),"mean over months of the 2001-2020 calendar-month means of Qair, Tair, Psurf via Magnus",NASA GES DISC,FLDAS_NOAH01_C_GL_M.001,0.1 deg,1/120 deg (~0.93 km),monthly -> climatology,%,bilinear 0.1 deg -> 1 km,fill <= -9998 -> NaN,none; median imputation fitted on training rows,1.1393,"none (covariate climatology, not label)",none,new,v2 (primary),
12.0,v2_rh_sk_tau,Relative humidity (derived) Seasonal Kendall tau,Hirsch et al. 1982 on monthly series,NASA GES DISC,FLDAS_NOAH01_C_GL_M.001,0.1 deg,1/120 deg (~0.93 km),monthly series,-,bilinear,fill -> NaN,none; median imputation fitted on training rows,1.1393,none,-,new,v2 (primary),
13.0,v2_wind_level,Near-surface wind speed (climatological level),mean over months of the 2001-2020 calendar-month means of Wind_f_tavg,NASA GES DISC,FLDAS_NOAH01_C_GL_M.001,0.1 deg,1/120 deg (~0.93 km),monthly -> climatology,m/s,bilinear 0.1 deg -> 1 km,fill <= -9998 -> NaN,none; median imputation fitted on training rows,1.1393,"none (covariate climatology, not label)",Near-surface wind speed,reproduced (same source),v2 (primary),
14.0,v2_wind_sk_tau,Near-surface wind speed Seasonal Kendall tau,Hirsch et al. 1982 on monthly series,NASA GES DISC,FLDAS_NOAH01_C_GL_M.001,0.1 deg,1/120 deg (~0.93 km),monthly series,-,bilinear,fill -> NaN,none; median imputation fitted on training rows,1.1393,none,-,new,v2 (primary),
15.0,v2_precip_level,Precipitation (climatological level),mean over months of the 2001-2020 calendar-month means of Rainf_f_tavg x 86400 x days,NASA GES DISC,FLDAS_NOAH01_C_GL_M.001,0.1 deg,1/120 deg (~0.93 km),monthly -> climatology,mm/month,bilinear 0.1 deg -> 1 km,fill <= -9998 -> NaN,none; median imputation fitted on training rows,1.1393,"none (covariate climatology, not label)",Precipitation (Biswas: GPM IMERG),reproduced (different source),v2 (primary),
16.0,v2_precip_sk_tau,Precipitation Seasonal Kendall tau,Hirsch et al. 1982 on monthly series,NASA GES DISC,FLDAS_NOAH01_C_GL_M.001,0.1 deg,1/120 deg (~0.93 km),monthly series,-,bilinear,fill -> NaN,none; median imputation fitted on training rows,1.1393,none,-,new,v2 (primary),
17.0,v2_lwnet_level,Net longwave radiation (climatological level),mean over months of the 2001-2020 calendar-month means of Lwnet_tavg,NASA GES DISC,FLDAS_NOAH01_C_GL_M.001,0.1 deg,1/120 deg (~0.93 km),monthly -> climatology,W/m2,bilinear 0.1 deg -> 1 km,fill <= -9998 -> NaN,none; median imputation fitted on training rows,1.2832,"none (covariate climatology, not label)",Net longwave radiation flux (Biswas: GLDAS),reproduced (different source),v2 (primary),
18.0,v2_lwnet_sk_tau,Net longwave radiation Seasonal Kendall tau,Hirsch et al. 1982 on monthly series,NASA GES DISC,FLDAS_NOAH01_C_GL_M.001,0.1 deg,1/120 deg (~0.93 km),monthly series,-,bilinear,fill -> NaN,none; median imputation fitted on training rows,1.2832,none,-,new,v2 (primary),
19.0,v2_soilm_level,Soil moisture 0-10 cm (climatological level),mean over months of the 2001-2020 calendar-month means of SoilMoi00_10cm x 0.1 m x 1000,NASA GES DISC,FLDAS_NOAH01_C_GL_M.001,0.1 deg,1/120 deg (~0.93 km),monthly -> climatology,kg/m2,bilinear 0.1 deg -> 1 km,fill <= -9998 -> NaN,none; median imputation fitted on training rows,1.2832,"none (covariate climatology, not label)",Soil moisture (Biswas: GLDAS),reproduced (different source),v2 (primary),
20.0,v2_soilm_sk_tau,Soil moisture 0-10 cm Seasonal Kendall tau,Hirsch et al. 1982 on monthly series,NASA GES DISC,FLDAS_NOAH01_C_GL_M.001,0.1 deg,1/120 deg (~0.93 km),monthly series,-,bilinear,fill -> NaN,none; median imputation fitted on training rows,1.2832,none,-,new,v2 (primary),
21.0,v2_lst_day_level,LST day climatological level,2001-2020 mean of monthly means of 8-day composites,NASA LP DAAC,MOD11A2.061,1 km,1/120 deg (~0.93 km),8-day -> monthly -> climatology,deg C,area mean (grids aligned),QC bits 0-1 <= 1; DN > 0; DN x 0.02 - 273.15,none; median imputation fitted on training rows,0.0391,none,LST daytime (MOD11C3),reproduced (different product),v2 (primary),
22.0,v2_lst_day_sk_tau,LST day Seasonal Kendall tau,Hirsch et al. 1982,NASA LP DAAC,MOD11A2.061,1 km,1/120 deg (~0.93 km),monthly series,-,area mean,as above,none; median imputation fitted on training rows,0.0391,none,-,new,v2 (primary),
23.0,v2_lst_night_level,LST night climatological level,2001-2020 mean of monthly means of 8-day composites,NASA LP DAAC,MOD11A2.061,1 km,1/120 deg (~0.93 km),8-day -> monthly -> climatology,deg C,area mean (grids aligned),QC bits 0-1 <= 1; DN > 0; DN x 0.02 - 273.15,none; median imputation fitted on training rows,0.0391,none,LST night-time (MOD11C3),reproduced (different product),v2 (primary),
24.0,v2_lst_night_sk_tau,LST night Seasonal Kendall tau,Hirsch et al. 1982,NASA LP DAAC,MOD11A2.061,1 km,1/120 deg (~0.93 km),monthly series,-,area mean,as above,none; median imputation fitted on training rows,0.0392,none,-,new,v2 (primary),
25.0,v2_lst_dtr_level,LST dtr climatological level,2001-2020 mean of monthly means of 8-day composites,NASA LP DAAC,MOD11A2.061,1 km,1/120 deg (~0.93 km),8-day -> monthly -> climatology,deg C,area mean (grids aligned),QC bits 0-1 <= 1; DN > 0; DN x 0.02 - 273.15,none; median imputation fitted on training rows,0.0391,none,-,new,v2 (primary),
26.0,v2_lst_dtr_sk_tau,LST dtr Seasonal Kendall tau,Hirsch et al. 1982,NASA LP DAAC,MOD11A2.061,1 km,1/120 deg (~0.93 km),monthly series,-,area mean,as above,none; median imputation fitted on training rows,0.0393,none,-,new,v2 (primary),
27.0,v2_elevation,Elevation,area mean of 90 m DEM,NASA,SRTMGL3,90 m,1/120 deg (~0.93 km),static,m,area mean,outside India masked,none; median imputation fitted on training rows,0.0,none,Elevation (DEM not reported by Biswas),reproduced (source unspecified by Biswas),v2 (primary),
28.0,v2_slope,Slope (Horn),"atan(sqrt(zx^2 + zy^2)), Horn 3x3, latitude-dependent dx",NASA,SRTMGL3,90 m,1/120 deg (~0.93 km),static,deg,area mean of 90 m slope,-,none; median imputation fitted on training rows,0.0001,none,Slope,reproduced (scale differs: slope of a 0.25-deg DEM is ~20x smaller),v2 (primary),
29.0,v2_aspect_sin,Aspect sine,sin(circular-mean Horn aspect),NASA,SRTMGL3,90 m,1/120 deg (~0.93 km),static,-,circular mean,flat -> NaN,none; median imputation fitted on training rows,0.1049,none,Aspect,modified (circular encoding),v2 (primary),
30.0,v2_aspect_cos,Aspect cosine,cos(circular-mean Horn aspect),NASA,SRTMGL3,90 m,1/120 deg (~0.93 km),static,-,circular mean,flat -> NaN,none; median imputation fitted on training rows,0.1049,none,Aspect,modified (circular encoding),v2 (primary),
31.0,v2_dist_roads,Distance to roads,"Euclidean distance transform on 1 km equidistant-conic raster (all_touched), bilinear to grid",Geofabrik,OpenStreetMap 2022,vector,1/120 deg (~0.93 km),static (2022),km,EDT,class filter,none; median imputation fitted on training rows,0.0,low (2022 snapshot post-dates part of label period),Distance to roads,reproduced,v2 (primary),
32.0,v2_dist_railways,Distance to railways,"Euclidean distance transform on 1 km equidistant-conic raster (all_touched), bilinear to grid",Geofabrik,OpenStreetMap 2022,vector,1/120 deg (~0.93 km),static (2022),km,EDT,class filter,none; median imputation fitted on training rows,0.0,low (2022 snapshot post-dates part of label period),Distance to railways,reproduced,v2 (primary),
33.0,v2_dist_waterways,Distance to waterways,"Euclidean distance transform on 1 km equidistant-conic raster (all_touched), bilinear to grid",Geofabrik,OpenStreetMap 2022,vector,1/120 deg (~0.93 km),static (2022),km,EDT,class filter,none; median imputation fitted on training rows,0.0,low (2022 snapshot post-dates part of label period),Distance to waterways,reproduced,v2 (primary),
34.0,v2_lc2001_10,Land-cover fraction 10 cropland rainfed (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
35.0,v2_lc2001_20,Land-cover fraction 20 cropland irrigated (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
36.0,v2_lc2001_30,Land-cover fraction 30 mosaic cropland (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
37.0,v2_lc2001_40,Land-cover fraction 40 mosaic natural vegetation (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
38.0,v2_lc2001_50,Land-cover fraction 50 tree broadleaved evergreen (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
39.0,v2_lc2001_60,Land-cover fraction 60 tree broadleaved deciduous (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
40.0,v2_lc2001_70,Land-cover fraction 70 tree needleleaved evergreen (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
41.0,v2_lc2001_80,Land-cover fraction 80 tree needleleaved deciduous (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
42.0,v2_lc2001_90,Land-cover fraction 90 tree mixed (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
43.0,v2_lc2001_100,Land-cover fraction 100 mosaic tree and shrub (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
44.0,v2_lc2001_110,Land-cover fraction 110 mosaic herbaceous (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
45.0,v2_lc2001_120,Land-cover fraction 120 shrubland (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
46.0,v2_lc2001_130,Land-cover fraction 130 grassland (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
47.0,v2_lc2001_150,Land-cover fraction 150 sparse vegetation (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
48.0,v2_lc2001_160,Land-cover fraction 160 tree flooded fresh/brackish (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
49.0,v2_lc2001_170,Land-cover fraction 170 tree flooded saline (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
50.0,v2_lc2001_180,Land-cover fraction 180 shrub/herbaceous flooded (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
51.0,v2_lc2001_190,Land-cover fraction 190 urban (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
52.0,v2_lc2001_200,Land-cover fraction 200 bare areas (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
53.0,v2_lc2001_210,Land-cover fraction 210 water (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
54.0,v2_lc2001_220,Land-cover fraction 220 snow and ice (2001),area fraction of Level-1 class (code//10*10),ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static (2001),fraction,area mean,-,none; median imputation fitted on training rows,0.0,none (map predates label period),- (Biswas used LULC only as fire filter),new,v2 (primary),
55.0,v2_forest_frac_2001,Forest fraction 2001,area fraction of the 13 forest codes,ESA CCI,LCCS v2.0.7cds 2001,300 m,1/120 deg (~0.93 km),static,fraction,area mean,-,none; median imputation fitted on training rows,0.0,"structural: label is FOREST fire, non-forest pixels almost never positive (not leakage, but dominates all-pixel AUC)",-,new,v2 (primary),
,v1_ndvi_mean,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",
,v1_ndvi_clim_june,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",
,v1_ndvi_anomaly_mean,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",degenerate: out-of-baseline 26-month residue
,v1_ndvi_trend_2x12ma,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",
,v1_ndvi_residual_mean,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",degenerate (identically ~0)
,v1_ndvi_mk_tau,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",invalid test (MK on seasonal/autocorrelated series)
,v1_ndvi_cvsi_k8,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",lag chosen with labels (k unchanged with training-only labels)
,v1_ndvi_lisa_cluster,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",
,v1_ndvi_below_threshold,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",label-derived threshold (Delta AUC 0.0000 when removed)
,v1_lst_day_anomaly_mean,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",degenerate: out-of-baseline 26-month residue
,v1_lst_night_anomaly_mean,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",degenerate: out-of-baseline 26-month residue
,v1_dtr_anomaly_mean,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",degenerate: out-of-baseline 26-month residue
,v1_lst_day_mk_tau_monthly,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",invalid test (MK on seasonal/autocorrelated series)
,v1_lst_night_mk_tau_monthly,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",invalid test (MK on seasonal/autocorrelated series)
,v1_fldas_airtemp_anomaly,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",degenerate: out-of-baseline 26-month residue
,v1_fldas_wind_anomaly,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",degenerate: out-of-baseline 26-month residue
,v1_fldas_precip_anomaly,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",degenerate: out-of-baseline 26-month residue
,v1_fldas_rh_anomaly,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",degenerate: out-of-baseline 26-month residue
,v1_fldas_qair_anomaly,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",degenerate: out-of-baseline 26-month residue
,v1_fldas_soilmoisture_anomaly,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",degenerate: out-of-baseline 26-month residue
,v1_fldas_netlwradiation_anomaly,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",degenerate: out-of-baseline 26-month residue
,v1_fldas_airtemp_mk_tau_monthly,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",invalid test (MK on seasonal/autocorrelated series)
,v1_fldas_wind_mk_tau_monthly,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",invalid test (MK on seasonal/autocorrelated series)
,v1_fldas_precip_mk_tau_monthly,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",invalid test (MK on seasonal/autocorrelated series)
,v1_fldas_rh_mk_tau_monthly,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",invalid test (MK on seasonal/autocorrelated series)
,v1_fldas_qair_mk_tau_monthly,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",invalid test (MK on seasonal/autocorrelated series)
,v1_fldas_soilmoisture_mk_tau_monthly,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",invalid test (MK on seasonal/autocorrelated series)
,v1_fldas_netlwradiation_mk_tau_monthly,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",invalid test (MK on seasonal/autocorrelated series)
,v1_landcover_frac_LC22_10_cropland_rainfed,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_20_cropland_irrigated,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_30_mosaic_cropland,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_40_mosaic_natural_vegetation,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_50_tree_broadleaved_evergreen,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_60_tree_broadleaved_deciduous,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_70_tree_needleleaved_evergreen,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_80_tree_needleleaved_deciduous,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_90_tree_mixed,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_100_mosaic_tree_and_shrub,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_110_mosaic_herbaceous,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_120_shrubland,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_130_grassland,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_140_lichens_and_mosses,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_150_sparse_vegetation,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_160_tree_flooded_fresh_or_brakish_water,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_170_tree_flooded_saline_water,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_180_shrub_or_herbaceous_flooded,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_190_urban,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_200_bare_areas,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_210_water,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_landcover_frac_LC22_220_snow_and_ice,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",in-window 2020 map (measured effect small)
,v1_terrain_elevation,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",
,v1_terrain_slope,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",
,v1_terrain_aspect,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",
,v1_access_dist_roads,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",
,v1_access_dist_railways,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",
,v1_access_dist_waterways,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",
,v1_forest_frac_baseline,,,,,,,,,,,,,,,,"v1 (historical, retained for comparison)",
