id,equation_or_rule,manuscript_statement_(source),code_location,implemented_form,inputs_and_units,how_verified,verified_value_or_output,match,discrepancy_and_scientific_consequence,action
E16,Diffusivity head,D = softplus(D_net([NDVI_F1, forest_frac]) - softplus(w) NDVI_anomaly),model.py DiffusivityHead,Same,dimensionless net output -> km^2/month,Term audit,"D mean 0.033 km^2/month; diffusion term = 0.04% of |RHS|",YES,Diffusion numerically negligible at 12 km cells,Report; ablation shows diffusion-only degrades AUC
E17,Advection head,v = softplus(c_adv) grad(E),model.py AdvectionHead,Same; grad(E) from spectral gradient of elevation (m/km),c_adv carries km^2 m^-1 month^-1,Term audit,"c_adv=0.556; |v| mean 12.97 km/month; advection = 89% of |RHS|",YES,Velocity is static and data-agnostic in direction (always upslope),Report
E18,PDE satisfaction by trained model,"'physics-informed' field obeying the CDR equation (manuscript framing)",trained checkpoint (reproduced Track A),Soft penalty L_pde=mean(r^2),-,Term audit over 22542 cells x 265 transitions,"RMS residual 0.86 = 71x mean |du/dt| (0.012); median |du/dt| 0.0003/month",NO,"Trained state is effectively static after month 1 and does not satisfy the PDE; physics acts as an unmet regulariser",Must be disclosed; 'temporally evolving field' claim unsupported for this checkpoint
E19,Boundary condition,du/dn = 0 on dOmega (methodology §3),losses.bc_loss + spectral_ops.neumann_periodic_extend,"Penalty mean |grad u|^2 over the 1,253-cell boundary ring (full gradient, 'proxy'); symmetric extension at the RECTANGLE edge",-,Code read; ring size recomputed,1253 cells,PARTIAL,"Penalises tangential gradient too; India boundary is irregular inside the rectangle (known 'rectangular boundary approximation')",Disclose exact form
E20,Initial condition,u(x,y,0)=0,train loops,Hard-set u0=0; L_ic=mean(u0^2) is identically 0,-,Code read,L_ic == 0 always,YES,"'Four loss groups' are effectively three",Disclose
E21,Adaptive loss weights,"w_i <- w_i * mean_j||grad L_j|| / ||grad L_i|| (methodology §6.1)",losses.AdaptiveLossBalancer,"w_i <- 0.9 w_i + 0.1 * mean_j||grad L_j|| / ||grad L_i||, every 5 windows, norms of UNWEIGHTED losses",-,Code read,-,NO (formula),Different update rule from the text and from Wang et al. (2021) (max/mean form),Correct the text
E22,Data loss / negatives,"'Negative supervision uses random, size-matched, seed=42 background sampling' (methodology §5)",losses.data_loss_monthly,pos-weighted BCE over ALL training cells (no negative sampling); pos_weight = (1-p)/p from train cells,-,Code read,"pos_weight 43.04 (Track A, monthly positive rate 2.27%)",NO,Manuscript describes a sampling scheme that is not implemented,Correct the text
E23,Terminal label / B3,"B3 = leave-years-out (held-out years 2000,2008,2009,2015)",run_validation_tracks.py:271,Terminal LSE loss uses fire_ever pooled over ALL 2000-2022 months incl. held-out years,-,Code read,-,NO,"Label leakage of held-out-year fires into B3 training",Unified runner rebuilds terminal label from fit months only; both reported
E24,LSE pooling,pooled = (1/tau)[logsumexp(tau s) - log n],losses.lse_pool,Same (tau=5),-,Code read,-,YES,None,-
E25,CDR architecture,"FNO: lift 8->32, 4 x [spectral(16x16 modes)+1x1 skip, GELU], proj 32->32->1; 1,054,613 params",model.py,Same,-,n_params from checkpoint,"1,054,613",YES,None,-
